country_code,name,ip_address,reliability,dnssec,is_working
RO,tag.euroweb.ro.,193.226.61.1,1.0,False,True
RO,nsx.euroweb.ro.,193.230.183.201,1.0,False,True
RU,secondary.dns.yandex.ru.,77.88.8.1,1.0,True,True
RU,secondary.family.dns.yandex.ru.,77.88.8.3,1.0,True,True
RU,safe.dns.yandex.ru.,77.88.8.88,1.0,True,True
RW,,196.12.149.197,1.0,False,True
SC,server.stdcarriers.com.,45.141.58.191,1.0,False,True
SC,,185.247.225.17,1.0,True,True
SG,dns03.ntts-idc.net.sg.,202.136.162.12,1.0,False,True
SG,dns02.ntts-idc.net.sg.,202.136.163.11,1.0,False,True
SG,cache300.ns.uu.net.,210.80.58.66,1.0,True,True
SI,ns.uil-sipo.si.,193.2.246.9,1.0,False,True
SK,,195.168.91.238,1.0,False,True
SN,art-server-001.art-telecom.sn.,213.154.80.203,1.0,False,True
SY,,91.144.22.198,1.0,False,True
SZ,,69.63.73.234,1.0,False,True
TG,,80.248.72.1,0.7,False,True
TH,mail.successmore4.COM.,203.146.127.85,1.0,False,True
TJ,dns1.beeline.tj.,85.9.129.36,1.0,False,True
TJ,ns.tacom.tj.,85.9.129.38,1.0,False,True
TN,,197.26.8.36,1.0,False,True
TN,dns2.planettunisie.com.,193.95.93.243,1.0,False,True
TT,nssec.tstt.net.tt.,196.3.132.154,1.0,False,True
TT,ns1.flowtrinidad.com.,200.1.104.35,1.0,False,True
TT,ns.tstt.net.tt.,196.3.132.153,1.0,False,True
TW,dns.hinet.net.,168.95.1.1,1.0,False,True
TZ,,41.59.224.62,1.0,False,True
UG,static-41-222-4-34.metronet.imul.com.,41.222.4.34,1.0,False,True
US,dns.google.,8.8.8.8,1.0,True,True
US,resolver1.opendns.com.,208.67.222.222,1.0,True,True
UZ,89.236.213.118.static.ip.tps.uz.,89.236.213.118,1.0,True,True
VE,,45.230.168.17,1.0,False,True
XK,,37.35.65.28,1.0,True,True
ZM,,41.173.23.150,1.0,False,True
ZM,mail.zppa.org.zm.,41.60.129.80,0.96,False,True
ZW,cust-ce.liquidtelecom.net.,197.155.230.206,1.0,False,True
ZW,stanchart-zitf-site2.zol.co.zw.,197.211.207.18,1.0,False,True
